,TARGET,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,JOB
62,0,N,Y,157500.0,-16834,-5074,Laborers
63,0,N,Y,112500.0,-14601,-7900,Laborers
64,0,Y,N,157500.0,-16588,-3001,Laborers
65,0,N,Y,292500.0,-12554,-5326,Managers
66,0,N,Y,135000.0,-16911,-4253,Sales staff
67,0,Y,Y,306000.0,-13541,-3965,Core staff
68,0,Y,N,112500.0,-16044,-6693,High skill tech staff
69,0,N,N,247500.0,-15125,-199,Drivers
70,0,Y,Y,135000.0,-11564,-2944,Managers
71,0,N,N,81000.0,-12812,-3389,Core staff
72,0,N,Y,67500.0,-11126,-2087,Accountants
73,0,N,N,180000.0,-18382,-4548,Accountants
74,0,N,Y,135000.0,-14578,-7346,Laborers
75,0,Y,Y,247500.0,-11992,-3579,Managers
76,0,N,Y,202500.0,-8637,-95,Core staff
77,0,N,Y,675000.0,-19698,-4441,Managers
78,0,N,N,36000.0,-14500,-459,Core staff
79,0,N,Y,180000.0,-11900,-731,Sales staff
80,0,Y,Y,112500.0,-18491,-473,Laborers
81,0,Y,N,180000.0,-11178,-219,Drivers
82,0,N,N,157500.0,-16856,-1262,Laborers
83,0,N,Y,112500.0,-22650,-14338,Laborers
84,0,Y,Y,202500.0,-15160,-3974,High skill tech staff
85,0,N,N,112500.0,-12076,-5362,Laborers
86,0,Y,Y,270000.0,-13207,-1401,Low-skill Laborers
87,0,N,N,81000.0,-14211,-158,Low-skill Laborers
88,0,Y,Y,180000.0,-14192,-824,High skill tech staff
89,0,N,Y,157500.0,-16605,-1359,Sales staff
90,0,N,Y,180000.0,-10049,-1405,Sales staff
91,0,N,Y,157500.0,-13921,-2542,Sales staff
92,0,Y,Y,180000.0,-13052,-1009,High skill tech staff
93,0,Y,N,562500.0,-14654,-2836,Managers
94,0,Y,N,337500.0,-15333,-196,Managers
95,0,Y,Y,270000.0,-13360,-4086,Laborers
96,0,Y,N,360000.0,-11841,-3092,Managers
97,0,N,Y,103500.0,-19039,-3240,Cleaning staff
98,0,N,Y,157500.0,-12623,-5726,Laborers
99,0,Y,Y,135000.0,-14677,-3938,Laborers
100,0,N,N,211500.0,-14636,-4690,Laborers
101,0,N,Y,119250.0,-15931,-4404,Core staff
102,1,N,Y,90000.0,-16569,-517,Laborers
103,0,N,Y,216000.0,-19150,-7415,Managers
104,0,N,N,122400.0,-20952,-1155,Medicine staff
105,0,Y,Y,315000.0,-18184,-3021,Laborers
106,0,N,Y,112500.0,-11543,-979,Sales staff
107,0,Y,Y,225000.0,-11695,-3929,Laborers
108,0,Y,Y,220500.0,-19597,-993,Drivers
109,0,Y,Y,315000.0,-18335,-2796,Drivers
110,0,N,Y,315000.0,-18794,-1842,Cleaning staff
111,0,Y,Y,139500.0,-8723,-263,Managers
112,0,Y,Y,126000.0,-18458,-2104,Core staff
113,0,N,Y,193500.0,-12161,-1159,Drivers
114,0,Y,N,225000.0,-16032,-5406,Drivers
115,0,Y,N,144000.0,-14407,-1345,HR staff
116,0,N,Y,157500.0,-10809,-1222,Secretaries
117,0,Y,Y,121500.0,-10991,-637,Laborers
118,0,Y,N,292500.0,-10460,-231,Drivers
119,0,N,N,135000.0,-15050,-4977,Laborers
120,0,N,Y,180000.0,-17733,-5622,Laborers
121,0,N,Y,202500.0,-15231,-370,Sales staff
122,0,Y,N,112500.0,-14060,-7364,Cooking staff
123,0,Y,N,315000.0,-19495,-1678,Accountants
124,0,Y,N,202500.0,-14555,-1838,Core staff
125,0,N,Y,270000.0,-14778,-3322,Core staff
126,0,N,Y,180000.0,-13467,-3850,Medicine staff
127,0,N,Y,391500.0,-17522,-1526,Security staff
128,0,Y,N,225000.0,-14667,-798,Managers
129,0,N,N,270000.0,-9943,-554,Managers
130,0,N,N,135000.0,-17615,-339,Accountants
131,0,Y,Y,225000.0,-17002,-803,Managers
132,0,Y,Y,270000.0,-15167,-2162,Drivers
133,0,N,Y,112500.0,-14612,-397,Core staff
134,0,N,Y,112500.0,-19261,-5130,Sales staff
135,0,Y,Y,360000.0,-18356,-1820,High skill tech staff
136,0,Y,Y,202500.0,-18626,-1332,Security staff
137,0,Y,N,144000.0,-14407,-1345,HR staff
138,0,Y,Y,225000.0,-19886,-1577,Accountants
139,0,N,N,157500.0,-9373,-779,Laborers
140,0,Y,Y,225000.0,-19724,-12591,Medicine staff
141,0,N,Y,135000.0,-16965,-928,Accountants
142,0,N,N,247500.0,-15125,-199,Drivers
143,0,Y,N,225000.0,-14555,-1226,Managers
144,0,N,N,427500.0,-20990,-6180,Sales staff
145,0,Y,N,135000.0,-12523,-2482,Managers
146,0,N,N,63000.0,-14770,-2004,Core staff
147,0,N,Y,225000.0,-14877,-139,Core staff
148,0,N,Y,90000.0,-17444,-1112,Laborers
149,0,N,Y,90000.0,-13120,-1493,Sales staff
150,0,Y,Y,76500.0,-18177,-2263,Laborers
151,0,N,Y,135000.0,-12418,-226,Laborers
152,0,N,N,45000.0,-18532,-3666,Core staff
153,0,N,Y,112500.0,-16907,-429,Secretaries
154,0,Y,Y,90000.0,-12821,-155,Laborers
155,0,Y,Y,135000.0,-17538,-613,Core staff
156,0,N,Y,180000.0,-17725,-1783,Accountants
157,0,N,N,225000.0,-12378,-670,Sales staff
158,0,N,N,225000.0,-19124,-5064,Laborers
159,0,Y,Y,360000.0,-17389,-2113,Drivers
160,0,Y,N,180000.0,-14759,-991,Drivers
161,0,N,Y,247500.0,-12309,-2788,Laborers
162,0,Y,N,90000.0,-18652,-5633,Laborers
163,0,N,Y,135000.0,-17579,-1904,Laborers
164,0,Y,Y,247500.0,-15606,-160,Sales staff
165,0,N,Y,360000.0,-14687,-2463,Cooking staff
166,0,N,Y,180000.0,-15290,-1253,Security staff
167,0,Y,N,171000.0,-11301,-2250,Laborers
168,0,N,Y,360000.0,-18577,-2441,Accountants
169,0,N,Y,193500.0,-23700,-712,Core staff
170,0,Y,Y,157500.0,-10737,-2078,Sales staff
171,0,Y,Y,144000.0,-12116,-2714,Drivers
172,0,Y,Y,472500.0,-17844,-2045,Managers
173,0,Y,Y,144000.0,-10367,-2389,Sales staff
174,0,Y,N,292500.0,-19939,-6298,Managers
175,0,N,Y,135000.0,-18230,-173,Medicine staff
176,0,N,N,81000.0,-17876,-377,Private service staff
177,0,Y,Y,157500.0,-9766,-2696,Sales staff
178,0,N,Y,135000.0,-18768,-2420,Sales staff
179,0,Y,N,135000.0,-11440,-4663,High skill tech staff
180,0,N,Y,135000.0,-13211,-777,Core staff
181,0,N,N,135000.0,-13108,-2043,Core staff
182,0,N,Y,225000.0,-20924,-1050,Cleaning staff
183,0,Y,Y,202500.0,-15812,-4231,Accountants
184,0,N,Y,495000.0,-19682,-3880,Managers
185,0,N,Y,229500.0,-16481,-1292,Drivers
186,0,N,Y,112500.0,-21312,-10050,Laborers
187,0,N,Y,157500.0,-19869,-238,Sales staff
188,0,Y,Y,225000.0,-15671,-232,Laborers
189,0,Y,N,450000.0,-14970,-7183,Drivers
190,0,Y,N,135000.0,-16624,-4054,Laborers
191,0,Y,Y,94500.0,-18095,-10364,High skill tech staff
192,0,Y,N,337500.0,-11344,-3309,Core staff
193,0,Y,N,382500.0,-15215,-1534,Managers
194,0,N,Y,202500.0,-15975,-8760,Private service staff
195,0,Y,Y,112500.0,-17300,-1235,Drivers
196,0,Y,Y,135000.0,-16271,-3111,Core staff
197,0,Y,N,95850.0,-18931,-6678,Laborers
198,0,Y,Y,360000.0,-22111,-3854,Managers
199,0,N,Y,292500.0,-12954,-2590,Managers
200,0,N,Y,112500.0,-15990,-1100,Laborers
201,0,Y,Y,54000.0,-8627,-1537,Medicine staff
202,0,Y,Y,157500.0,-10634,-102,IT staff
203,0,Y,Y,81000.0,-11256,-2691,Core staff
204,0,N,Y,112500.0,-18484,-6033,Medicine staff
205,0,N,Y,202500.0,-10746,-1100,Sales staff
206,0,Y,N,459000.0,-15980,-119,Drivers
207,0,Y,Y,103500.0,-15389,-607,Laborers
208,0,N,Y,126000.0,-18888,-7347,Core staff
209,0,Y,Y,112500.0,-11809,-536,Accountants
210,0,N,N,180000.0,-13396,-786,Sales staff
211,0,Y,N,90000.0,-18472,-1661,Drivers
212,0,Y,Y,144000.0,-14291,-532,Accountants
213,0,N,N,126000.0,-10088,-1797,High skill tech staff
214,0,N,Y,270000.0,-11082,-376,Core staff
215,0,Y,Y,180000.0,-13926,-3062,Laborers
216,0,N,Y,112500.0,-10443,-560,Core staff
217,0,N,N,135000.0,-17614,-4219,Sales staff
218,0,N,N,144000.0,-16898,-7310,Core staff
219,0,Y,N,202500.0,-14116,-6032,Laborers
220,0,N,N,135000.0,-10116,-880,Laborers
221,0,Y,N,315000.0,-18214,-5210,Laborers
222,0,N,N,144000.0,-16641,-9988,Sales staff
223,0,Y,Y,202500.0,-15423,-3231,Laborers
224,0,Y,N,225000.0,-10937,-1539,High skill tech staff
225,0,Y,Y,112500.0,-13022,-1600,Laborers
226,0,Y,Y,112500.0,-12078,-673,Laborers
227,0,N,N,36000.0,-14846,-154,Cleaning staff
228,0,Y,Y,472500.0,-17844,-2045,Managers
229,0,Y,Y,135000.0,-17785,-1712,Laborers
230,0,N,Y,135000.0,-17579,-1904,Laborers
231,0,N,N,315000.0,-14679,-1282,Managers
232,0,N,Y,202500.0,-15941,-5830,Managers
233,0,N,Y,180000.0,-12899,-157,Laborers
234,0,Y,N,540000.0,-13234,-1753,Laborers
235,0,Y,Y,265500.0,-11630,-1904,Laborers
236,0,Y,Y,121500.0,-10991,-637,Laborers
237,0,N,N,225000.0,-16768,-3088,Laborers
238,0,Y,Y,112500.0,-11809,-536,Accountants
239,0,Y,Y,135000.0,-13548,-949,Laborers
240,0,N,Y,67500.0,-19620,-2196,Core staff
241,0,Y,Y,135000.0,-19095,-6342,Drivers
242,0,Y,N,202500.0,-14926,-1281,High skill tech staff
243,0,Y,Y,180000.0,-18838,-5981,Managers
244,0,Y,N,112500.0,-19538,-5880,Secretaries
245,0,N,N,180000.0,-9503,-354,Managers
246,0,N,Y,157500.0,-12047,-4796,Medicine staff
247,0,N,N,146250.0,-9225,-522,Laborers
248,0,Y,Y,270000.0,-13768,-2565,Managers
249,0,Y,Y,225000.0,-16643,-180,Medicine staff
250,0,Y,Y,270000.0,-14186,-1736,Sales staff
251,0,N,Y,180000.0,-9791,-1344,Sales staff
252,0,Y,Y,450000.0,-15960,-3574,High skill tech staff
253,0,Y,Y,216000.0,-17051,-1457,Laborers
254,0,Y,Y,315000.0,-10847,-2712,Laborers
255,0,N,Y,108000.0,-12723,-1132,Sales staff
256,0,N,Y,157500.0,-11868,-1220,Sales staff
257,0,N,Y,202500.0,-11468,-4448,Laborers
258,0,N,Y,90000.0,-18587,-1388,Cleaning staff
259,0,Y,Y,337500.0,-14558,-1250,High skill tech staff
260,0,N,Y,67500.0,-15675,-283,Medicine staff
261,0,N,Y,180000.0,-18713,-3549,Sales staff
262,0,Y,Y,315000.0,-18335,-2796,Drivers
263,0,Y,Y,247500.0,-19195,-10692,Managers
264,0,N,Y,360000.0,-16182,-3163,Managers
265,0,N,N,81000.0,-14290,-1308,Cooking staff
266,0,N,N,202500.0,-13446,-2720,Sales staff
267,0,Y,N,247500.0,-12118,-2313,Core staff
268,0,N,Y,121500.0,-13488,-1305,Cooking staff
269,0,Y,Y,157500.0,-14330,-1936,Sales staff
270,0,Y,Y,202500.0,-17148,-842,Security staff
271,0,N,Y,283500.0,-17958,-655,Sales staff
272,0,Y,Y,270000.0,-12155,-979,Sales staff
273,0,Y,Y,157500.0,-12859,-4056,Drivers
274,0,Y,Y,135000.0,-12443,-1618,Core staff
275,0,Y,N,270000.0,-16197,-3000,Drivers
276,0,N,Y,148500.0,-12279,-1844,Laborers
277,0,N,Y,202500.0,-15231,-8375,High skill tech staff
278,0,N,Y,157500.0,-11053,-1626,Laborers
279,0,N,N,135000.0,-9493,-130,Cooking staff
280,0,N,N,180000.0,-19868,-3278,Core staff
281,0,N,Y,337500.0,-12797,-2318,Core staff
282,0,N,Y,270000.0,-20066,-3988,Private service staff
283,0,Y,Y,135000.0,-14926,-789,Cooking staff
284,0,Y,N,310500.0,-9930,-674,Laborers
285,0,N,N,76500.0,-17308,-6224,Medicine staff
286,0,N,N,270000.0,-17300,-408,Managers
287,0,Y,N,103500.0,-20292,-980,Laborers
288,0,N,Y,112500.0,-13868,-415,Laborers
289,0,N,N,216000.0,-20062,-561,Cleaning staff
290,0,Y,Y,360000.0,-14498,-6123,Core staff
291,0,N,Y,112500.0,-20008,-5585,Security staff
292,0,N,Y,90000.0,-19482,-2878,Laborers
293,0,N,N,157500.0,-11888,-295,Security staff
294,0,N,Y,180000.0,-14666,-1229,Private service staff
295,0,N,N,202500.0,-13446,-2720,Sales staff
296,0,N,N,225000.0,-18093,-2493,Managers
297,0,N,N,135000.0,-14958,-1345,Laborers
298,0,Y,Y,202500.0,-21227,-829,Laborers
299,0,N,Y,180000.0,-18493,-387,Sales staff
300,0,N,N,81000.0,-11978,-2780,Sales staff
301,0,Y,Y,94500.0,-14154,-6610,Laborers
302,0,N,Y,121500.0,-9844,-3021,Laborers
303,0,Y,N,225000.0,-18672,-2477,Laborers
304,0,Y,N,225000.0,-14776,-2212,Drivers
305,0,N,Y,157500.0,-12272,-2212,Laborers
306,0,N,Y,225000.0,-18630,-1462,Laborers
307,0,N,Y,90000.0,-8316,-149,Laborers
308,0,N,N,135000.0,-10116,-880,Laborers
309,0,N,Y,139500.0,-17801,-8479,Managers
310,0,N,N,130500.0,-15436,-3476,Sales staff
311,0,N,Y,135000.0,-16965,-928,Accountants
312,0,N,N,247500.0,-16797,-6583,Laborers
313,0,N,Y,148500.0,-19826,-2888,High skill tech staff
314,0,N,Y,292500.0,-12954,-2590,Managers
315,0,N,Y,252000.0,-18402,-7404,Medicine staff
316,0,N,N,234000.0,-21967,-5215,Core staff
317,0,Y,N,157500.0,-9124,-960,Drivers
318,0,N,N,135000.0,-9887,-2474,Sales staff
319,0,Y,N,225000.0,-12769,-4114,HR staff
320,0,N,N,202500.0,-11309,-2713,Sales staff
321,0,N,Y,112500.0,-12114,-4004,Accountants
322,0,N,Y,108000.0,-15997,-7341,Laborers
323,0,N,Y,112500.0,-13656,-2207,Sales staff
324,0,Y,N,112500.0,-11583,-3407,Laborers
325,1,Y,Y,112500.0,-17300,-1235,Drivers
326,0,Y,Y,90000.0,-14116,-2269,Medicine staff
327,0,Y,N,180000.0,-12709,-3193,Managers
328,0,N,N,180000.0,-13619,-385,IT staff
329,0,N,Y,270000.0,-10886,-308,Laborers
330,0,N,Y,76500.0,-20145,-11907,Sales staff
331,0,N,Y,126000.0,-23844,-2147,Accountants
332,0,Y,Y,450000.0,-19804,-1161,Core staff
333,0,Y,Y,198000.0,-15427,-3307,Drivers
334,0,N,N,90000.0,-10957,-1214,Cooking staff
335,0,N,N,144000.0,-16898,-7310,Core staff
336,0,N,N,202500.0,-11447,-3030,Laborers
337,0,N,Y,360000.0,-19070,-10490,Accountants
338,0,Y,Y,166500.0,-14649,-3141,Sales staff
339,0,N,Y,90000.0,-12681,-1677,Core staff
340,0,Y,Y,157500.0,-14785,-4872,Managers
341,0,Y,N,202500.0,-19120,-3661,Drivers
342,0,N,Y,225000.0,-10924,-97,Cleaning staff
343,0,N,N,81000.0,-17876,-377,Private service staff
344,0,Y,Y,157500.0,-10737,-2078,Sales staff
345,0,Y,N,225000.0,-12522,-613,Laborers
346,0,N,Y,337500.0,-12790,-3329,Core staff
347,0,Y,Y,256500.0,-9785,-1345,High skill tech staff
348,0,Y,N,270000.0,-15207,-3201,Core staff
349,0,Y,N,112500.0,-12002,-2262,Sales staff
350,0,N,Y,193500.0,-11124,-1159,Core staff
351,0,N,Y,157500.0,-23406,-2617,Security staff
352,0,N,N,270000.0,-16517,-991,Core staff
353,0,Y,N,247500.0,-13086,-1931,Laborers
354,0,Y,N,135000.0,-12827,-623,Sales staff
355,0,N,Y,108000.0,-12723,-1132,Sales staff
356,0,Y,N,270000.0,-10292,-3529,Laborers
357,0,N,Y,112500.0,-21215,-808,Medicine staff
358,0,N,Y,90000.0,-16725,-5618,Low-skill Laborers
359,0,N,N,45000.0,-18406,-3111,Accountants
360,0,Y,Y,157500.0,-10647,-1610,Laborers
361,0,N,Y,112500.0,-15867,-2088,Sales staff
362,0,N,Y,135000.0,-11426,-229,Sales staff
363,0,N,Y,202500.0,-14060,-261,Medicine staff
364,0,Y,Y,135000.0,-20071,-3685,Laborers
365,0,Y,Y,315000.0,-9130,-1390,Core staff
366,0,N,Y,135000.0,-15675,-305,Sales staff
367,0,N,N,157500.0,-11644,-344,Managers
368,0,Y,N,180000.0,-12240,-4663,Core staff
369,0,N,N,202500.0,-19760,-2099,Cleaning staff
370,0,N,Y,292500.0,-12368,-672,Core staff
371,0,Y,Y,180000.0,-17975,-3476,Drivers
372,0,N,Y,112500.0,-15515,-2485,Sales staff
373,0,Y,Y,225000.0,-13205,-248,Managers
374,0,N,Y,157500.0,-20163,-223,Core staff
375,0,N,N,153000.0,-15485,-900,Sales staff
376,0,N,Y,270000.0,-19301,-2622,Managers
377,0,Y,Y,310500.0,-17067,-1720,High skill tech staff
378,0,Y,Y,180000.0,-12604,-2620,Managers
379,0,N,Y,207000.0,-19876,-5865,Medicine staff
380,1,Y,Y,265500.0,-10998,-2514,Accountants
381,0,Y,N,229500.0,-21665,-4342,Managers
382,0,N,N,144000.0,-16898,-7310,Core staff
383,0,N,Y,135000.0,-21677,-4003,Laborers
384,0,N,Y,63000.0,-19708,-7500,Cooking staff
385,0,N,N,135000.0,-12873,-197,Sales staff
386,0,N,Y,148500.0,-11819,-962,Laborers
387,0,N,N,112500.0,-14348,-1603,Sales staff
388,0,N,Y,171000.0,-20103,-2697,Cleaning staff
389,0,N,N,121500.0,-21587,-5009,Laborers
390,0,Y,Y,220500.0,-19597,-993,Drivers
391,0,Y,N,405000.0,-12179,-535,Managers
392,0,N,Y,202500.0,-15088,-2092,Sales staff
393,0,N,Y,112500.0,-14199,-2970,Private service staff
394,0,N,N,67500.0,-18401,-2149,Laborers
395,0,Y,N,225000.0,-16314,-1040,High skill tech staff
396,0,Y,Y,135000.0,-15216,-2969,Low-skill Laborers
397,0,Y,Y,90000.0,-9987,-410,Sales staff
398,0,N,Y,180000.0,-12914,-278,Laborers
399,0,N,Y,607500.0,-19435,-1416,Managers
400,0,Y,Y,135000.0,-14677,-3938,Laborers
401,0,Y,N,225000.0,-9488,-1810,Laborers
402,0,N,Y,247500.0,-13810,-1252,Private service staff
403,0,N,Y,99000.0,-14798,-3251,Laborers
404,0,Y,N,166500.0,-10435,-1713,Core staff
405,0,Y,Y,427500.0,-15085,-354,Managers
406,0,N,Y,166500.0,-20422,-2328,Cleaning staff
407,0,N,N,135000.0,-12546,-2539,Low-skill Laborers
408,0,N,Y,360000.0,-18095,-3205,Sales staff
409,0,N,N,144000.0,-16898,-7310,Core staff
410,0,N,Y,90000.0,-14680,-644,Sales staff
411,0,Y,Y,468000.0,-14887,-3117,Laborers
412,0,N,N,166500.0,-16416,-4692,Managers
413,0,Y,N,270000.0,-11955,-893,Laborers
414,0,Y,N,112500.0,-11870,-1497,Sales staff
415,0,N,Y,360000.0,-19330,-777,Drivers
416,0,Y,N,121500.0,-11023,-2652,Laborers
417,0,N,Y,112500.0,-15852,-3304,Laborers
418,0,Y,N,360000.0,-11294,-3536,Drivers
419,0,Y,Y,225000.0,-9761,-854,Laborers
420,0,Y,N,180000.0,-14084,-2696,Drivers
421,0,N,Y,90000.0,-16459,-704,Low-skill Laborers
422,0,Y,N,112500.0,-11664,-460,Core staff
423,0,Y,N,148500.0,-11675,-3779,Sales staff
424,0,N,Y,121500.0,-21620,-158,Laborers
425,0,N,N,247500.0,-13816,-1870,Laborers
426,0,Y,Y,247500.0,-17958,-2515,Drivers
427,0,N,Y,112500.0,-19087,-6128,Laborers
428,0,Y,N,72000.0,-15185,-227,Medicine staff
429,0,N,Y,225000.0,-16505,-1862,Core staff
430,0,Y,N,157500.0,-19843,-1922,Managers
431,0,N,Y,292500.0,-19837,-3220,Waiters/barmen staff
432,0,Y,Y,279000.0,-16187,-3731,Managers
433,0,Y,N,247500.0,-20952,-3852,Managers
434,0,Y,Y,216000.0,-21216,-3641,Managers
435,0,Y,Y,180000.0,-15494,-4304,Sales staff
436,0,N,Y,90000.0,-12849,-543,Core staff
437,0,Y,N,238500.0,-11384,-1965,Drivers
438,0,N,N,121500.0,-11697,-614,HR staff
439,0,N,N,85500.0,-13708,-4625,High skill tech staff
440,0,N,Y,180000.0,-12736,-2725,Laborers
441,0,N,Y,157500.0,-18333,-7213,Medicine staff
442,0,N,Y,135000.0,-15920,-6861,Core staff
443,0,N,Y,135000.0,-19764,-6944,Medicine staff
444,0,Y,N,270000.0,-20776,-2745,Managers
445,0,Y,N,225000.0,-19972,-6610,Laborers
446,0,N,Y,135000.0,-18964,-441,Sales staff
447,0,N,N,292500.0,-20953,-8684,Accountants
448,0,Y,Y,337500.0,-14733,-1379,Sales staff
449,0,N,Y,99000.0,-16721,-8875,Core staff
450,0,N,Y,135000.0,-9734,-2049,Core staff
451,0,N,N,270000.0,-9184,-840,Sales staff
452,0,N,Y,360000.0,-12483,-4039,Managers
453,0,N,Y,157500.0,-14059,-1379,Drivers
454,0,N,Y,292500.0,-14522,-1552,Laborers
455,0,N,N,112500.0,-19721,-1539,Accountants
456,0,N,Y,99000.0,-23395,-151,Core staff
457,0,Y,N,225000.0,-10787,-279,Managers
458,0,N,Y,135000.0,-20890,-3303,Laborers
459,0,N,Y,112500.0,-16022,-9052,Sales staff
460,0,N,N,81000.0,-12544,-748,Sales staff
461,0,N,Y,135000.0,-11567,-655,Sales staff
462,0,N,Y,121500.0,-14866,-5992,Medicine staff
463,0,N,Y,360000.0,-11524,-2554,Sales staff
464,0,Y,N,315000.0,-13793,-2653,Managers
465,0,N,Y,193500.0,-21029,-7280,High skill tech staff
466,0,Y,Y,202500.0,-11998,-1497,Managers
467,0,Y,Y,315000.0,-17543,-2851,Drivers
468,0,N,Y,315000.0,-13271,-555,Managers
469,0,Y,N,225000.0,-13861,-5408,Laborers
470,0,N,Y,225000.0,-13071,-1344,Sales staff
471,0,Y,Y,126000.0,-14811,-2628,Laborers
472,0,N,N,234000.0,-16148,-4541,Drivers
473,0,N,Y,270000.0,-16896,-248,Laborers
474,0,N,N,112500.0,-15447,-2470,Sales staff
475,0,N,Y,202500.0,-20295,-3700,Laborers
476,0,N,N,112500.0,-15002,-1466,Laborers
477,0,N,N,135000.0,-12130,-798,Cooking staff
478,0,N,Y,270000.0,-15101,-3860,Accountants
479,0,Y,N,315000.0,-18214,-5210,Laborers
480,0,Y,Y,292500.0,-17663,-1022,Low-skill Laborers
481,0,Y,Y,270000.0,-21955,-12455,Core staff
482,0,N,Y,94500.0,-13870,-3458,Sales staff
483,0,N,N,270000.0,-16517,-991,Core staff
484,0,Y,Y,180000.0,-15212,-1267,Drivers
485,0,N,Y,99000.0,-14226,-1026,Laborers
486,0,N,Y,270000.0,-11082,-376,Core staff
487,0,N,N,90000.0,-11616,-3029,Laborers
488,0,Y,Y,126000.0,-11719,-285,Core staff
489,0,N,N,135000.0,-18757,-2057,Core staff
490,0,Y,N,130500.0,-10969,-163,Laborers
491,0,Y,Y,202500.0,-10144,-825,Laborers
492,0,Y,Y,202500.0,-11998,-1497,Managers
493,0,N,Y,157500.0,-18333,-7213,Medicine staff
494,0,N,Y,157500.0,-20831,-2423,Drivers
495,0,N,N,180000.0,-13484,-2417,High skill tech staff
496,0,N,N,157500.0,-18447,-4632,Cooking staff
497,0,N,N,225000.0,-10809,-3900,Laborers
498,0,N,Y,315000.0,-22022,-12949,Core staff
499,0,N,Y,270000.0,-19301,-2622,Managers
500,0,Y,N,135000.0,-12427,-614,Laborers
501,0,N,N,180000.0,-15226,-3414,Sales staff
502,0,N,N,157500.0,-17395,-1517,Core staff
503,0,N,Y,112500.0,-13541,-3427,Core staff
504,0,N,Y,135000.0,-20931,-191,Security staff
505,0,Y,N,270000.0,-12297,-384,Managers
506,0,Y,N,315000.0,-13064,-2286,Medicine staff
507,0,N,Y,112500.0,-16784,-2188,Sales staff
